Age,Communication,Documents,Education,Experience,Gender,Job Type,Others,Ownership,Shift Timings,Skills,Working Days,experience,location,salary_max,salary_min
28 - 35 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
18 - 59 yrs,Good Hindi skills - Ability to Speak     Good Marathi skills - Ability to Speak     Good English skills - Ability to Speak,Pan Card     Aadhar Card,Graduation degree preferred     Bachelor of Arts (B.A.) in Hindi,,,,,,,,,,,,
18 - 21 yrs,Good English skills - Ability to Speak,Voter IDCompulsory      Aadhar CardCompulsory,Doctrate preferred, 6 months to 3 yrs of experience as Admin Executive in Healthcare / Medical preferred,Male mandatoryCompulsory,Full Time,,Feature Phone     Car,,physiotherapyCompulsory,6 days,6 monthsto3 yrs experience| Resume Required,Def Col,,
Above 18 yrs,,,Below 10th allowed,Freshers as Admin Executive preferred,,Full Time,,,,,,Freshers can Apply| Resume Required,Bengaluru,,
18 - 35 yrs,Good English skills - Ability to Speak,Pan Card     Aadhar Card,Below 10th allowed,2 yrs to 3 yrs of experience as Admin Executive in Wellness / Fitness / Sports / Beauty preferred,Male preferred,Full Time,,Android Phone     Bike/Scooter,,Customer EngagementCustomer FocusCustomer Follow UpCompulsory      Computer Awareness,6 days,2 yrsto3 yrs experience| Resume Required,Sector 10,,
20 - 30 yrsCompulsory,Functional English skills - Ability to Read,,,,,,,,,,,,,,
Above 20 yrs,Good English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Excellent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 18 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
Above 30 yrs,Fluent English skills - Ability to Speak,,,,,,,,,,,,,,
